Date,AAPL,ADBE,AIG,AMD,AMZN,BAC,CRM,CVX,GOOGL,GS,JPM,MA,META,MS,MSFT,NVDA,ORCL,PYPL,V,XOM,ABBV,BA,CAT,CMS,COP,COST,DIS,DUK,HON,JNJ,KO,NEE,NFLX,PEP,PFE,PG,T,UNH,UPS,WMT
2019-03-19,126585600,4257300,5090400,156052200,127284000,55455100,4379000,5096800,29788000,3284900,12889300,3212000,25611500,12548500,37588700,854972000,19214000,6965100,9236100,13936500,6335500,9856100,3315900,3222500,6456400,1852300,45384400,4656600,2726028,5882500,14987000,8080800,75414000,6751700,26403227,7334100,38039182,4164800,2940800,16243200
2019-03-20,124140800,3732600,4823800,151292100,125312000,81689900,4391000,6708500,41508000,5033500,14920700,3747400,20211500,15078500,28113300,719148000,24111600,6462900,6391400,13133600,5360900,8737600,3522100,2447800,7117300,1499500,35588700,3838800,2401386,5475700,13376100,8669200,109172000,5733500,23499035,7513800,32656328,4193500,4199100,18969300
2019-03-21,204136800,2359900,4711100,129610300,115356000,77444400,4277800,5050400,28150000,4031500,19751000,4441100,16223000,14576200,29854400,824312000,16686300,7216700,7027100,10117000,5159200,6951000,2635700,2142200,5580900,1617000,27438900,4461100,1974666,5765100,20043000,7499200,85440000,4305600,24262553,8221000,34878529,2699700,1819900,19653000
2019-03-22,169630800,3454000,5410600,115323300,127260000,118851600,5614300,5786800,34422000,5703100,31115200,3709400,16389200,25416800,33624500,747644000,16201500,7195000,8119800,12497700,4992500,10143900,5745800,3300200,5182100,1873600,24133800,4174400,2459253,6528800,19055900,9486000,86613000,6668100,19620105,11035900,43918934,3777900,2727900,20124300
2019-03-25,175381200,2639300,3914800,78438200,102076000,65568000,3795400,3837500,27576000,3751000,21032300,3506500,12631200,14504100,27067100,525212000,11755900,5117700,7568000,11320400,4008400,7939600,3199800,1756900,8070000,1357100,18187500,3350900,2072393,4500300,11668200,7038400,84738000,4275400,19823316,6955500,33938489,4110900,2088200,16222200
2019-03-26,199202000,3150100,2958400,75754100,97318000,59878500,6910300,4079800,30752000,2910100,15987100,3046900,15437900,9615400,26097700,703508000,11657600,4498000,15594400,9472800,4921900,6479700,2638200,1362600,7245200,1193000,16693100,3342100,2240228,4758600,11434900,6093200,76665000,4583000,20849279,6909400,32179688,4416200,2204400,14837700
2019-03-27,119393600,2521900,3075200,88585300,86496000,57621700,8218700,3727800,29428000,2343800,12753200,2640700,10620300,11251600,22733400,474372000,12636000,5450200,12253800,7258700,4006200,9600000,2378300,1694500,5015600,1351200,10794800,3592200,2796946,6764900,11543600,6116800,78524000,5318500,19455048,6037100,35408526,4819200,1911300,25413600
2019-03-28,83121600,2018000,2978300,64667500,60860000,45872300,4424800,4057700,22402000,2343400,12454100,2712100,10443000,8397000,18334800,480264000,9103100,4459900,16902200,7412300,3071000,4921300,2487200,2209900,5122100,1396700,11748900,4565800,2204617,4602100,11121100,9324000,43610000,3694700,16915541,6793700,35743234,3601500,1621000,24162900
2019-03-29,94256000,2097400,4308800,53502800,66416000,83446300,4913100,5318600,30890000,2632800,14523400,3453900,13455500,11811400,25399800,456896000,11485700,5625500,12164400,10889200,7105900,7694700,4681600,2332100,6810900,1968000,16358800,5434800,2736246,7168400,16045600,12039200,47056000,5758800,21681834,7535400,41847006,4294200,3428600,22319700
2019-04-01,111448000,2970100,3715100,63000300,84776000,91751100,4601100,5506300,27706000,3562600,17499300,3475900,10381500,25813300,22789100,483824000,15191700,6157200,6420100,10816400,4759400,7735700,5081500,3074000,5309000,1610200,10785100,4555500,2421518,5885200,11522700,9640400,70361000,5025700,20345046,6626500,50012511,4809500,3721700,25517400
2019-04-02,91062800,1877800,3424000,53358800,68962000,66694000,3158400,4362700,18288000,2247000,10295400,3386400,23946500,13101200,18142300,440920000,10812100,4177400,6215100,7646000,6355800,6401000,2529000,3251700,5833000,1574300,9231800,3386400,3371571,5517800,8495000,9960400,51587000,3242600,18625129,6088800,42296239,4057100,2456400,18822000
2019-04-03,93087200,2432800,3490300,197650500,78522000,63110600,3819100,3595400,22180000,3227900,11499200,2911700,27391100,11712100,22860700,783504000,12853400,5441900,8209300,8562900,6083500,7350300,4821800,2133500,5490800,1663600,10534900,2998800,3859699,5947000,12854500,8202800,53689000,4534400,16200402,5226500,38104720,2851400,2556500,17062500
2019-04-04,76457200,2947400,3753400,82191100,72478000,53712100,6295200,3715400,21022000,2582300,11952100,3096300,17847700,9119900,20112800,457376000,9978800,7996800,5100200,9360600,4827900,9388100,2988900,2128000,6397900,1319700,14378400,4847600,1990246,5844600,7814900,7106800,46273000,3022500,12990972,4786100,37352688,2255500,2889400,12078900
2019-04-05,74106400,1970500,4063900,65662700,72810000,46383400,4315300,5551400,20012000,2447100,9933700,2590000,9594100,8633900,15826200,481744000,10016300,8573800,4178300,10059100,3996300,6857200,2812300,1657200,8337800,1616200,10907900,5433200,1765353,4759700,7677600,6452800,39055000,3971500,15559043,4281800,52865599,3343000,2487300,13968000
2019-04-08,103526800,1796800,2147000,58002500,75056000,35272800,2848400,5483100,21750000,1891500,8056300,2714500,7297400,10898900,15116200,424192000,10126700,9261800,5604700,9108200,3499200,14482600,2497300,2022700,5705200,1244200,11054200,3115500,1875624,4329600,9421300,5772800,46538000,3140100,15410323,8468600,49321648,2195400,1854500,16267200
2019-04-09,143072800,1605900,3397000,75539800,74288000,40535300,5642900,4143400,19668000,2400900,9092200,2491300,19751000,7436200,17612000,439972000,9789000,7217100,6364100,8561600,3712700,7980100,3316500,1866300,4707300,1450200,17340300,2475300,1955040,5210300,8641800,6617200,54392000,3864400,18825072,5820300,35455396,2903800,2230000,13102500
2019-04-10,86781200,1469700,1904100,64368100,59280000,42669700,3414700,3970000,15510000,1907100,10882300,1984200,11701500,6703400,16477200,444772000,8477300,6561800,3918600,10324300,3641900,8285000,3310600,1702000,6629000,1556600,14091100,3412300,2408771,4194100,8059900,5291600,45456000,2681100,13202615,5394300,26990932,2753700,1767700,12273300
2019-04-11,83603200,2085600,4330300,44801200,53096000,50440100,2578400,3248300,16998000,2802100,11183800,1908200,8071000,7872700,14209100,374600000,8147600,7681000,5771400,9115100,9094200,6598400,2762900,2993700,9486900,2719800,12784500,2424500,1776683,4485200,7352400,5738400,65269000,3399700,20214877,5078400,33008512,8223400,2384800,16820700
2019-04-12,111042800,1681100,4937300,41048800,62288000,100192000,2844200,42693700,24312000,5096600,25834100,3452100,12329800,21641900,19745100,471708000,9014000,6997700,6745100,16638700,5011500,7334600,4383000,1935100,9913100,2187600,65253500,3520900,2143614,5756800,10690000,4768400,156462000,3501100,21338546,6707900,34451936,13979400,2853700,15486000
2019-04-15,70146400,1462300,3766200,40812500,74488000,57438800,2608400,13369100,23796000,6617200,15163800,3437500,10834800,11669000,15792600,440092000,7694900,4480100,8142800,8536100,3495500,3822100,3030200,1810500,7284800,1859700,32773700,2808900,2420708,5380900,10261300,5872800,88423000,4419800,18362788,5639200,25769939,10021800,1768300,15335700
2019-04-16,102785600,1638400,4709600,47340100,60892000,105168400,3004800,11942900,22622000,4852600,11583200,2564300,11215200,13358600,14071800,394964000,7265200,3766100,6021400,7005700,3624700,7083800,2672800,1995800,7790500,1360500,14564300,3166400,3042173,10745700,10804600,6523200,187402000,5263700,27506976,8136100,28733316,27361400,2072500,14485200
2019-04-17,115627200,2391500,3650600,48240800,57870000,94831600,4765500,11898100,30366000,4195300,17791900,2829200,9973700,19610000,19300900,351004000,7792200,5353700,4609100,8311400,6817100,4424400,3469400,1551800,7907100,1363000,14253700,4518200,3456247,9543700,11849300,8045600,180541000,7318200,42412117,6778100,29610995,22101400,2108400,11187600
2019-04-18,96783200,2028900,3729300,39880900,54998000,61796600,4391500,9546500,24750000,2874300,12501900,3016800,11655600,19906500,27991000,380988000,8233000,10220700,7859400,9493900,7784900,4703100,4504500,2178400,6033400,1365000,11890600,2822400,6451277,10485300,12167000,6670800,83532000,6331200,50579774,7248900,30872370,13927200,1859700,11183400
2019-04-22,77758000,1364700,2631000,36477300,67476000,34763400,2943300,7946200,19084000,1591400,7975900,2217700,13389900,7042100,15648700,279936000,6088100,6408500,4602600,10770600,5358600,4147700,3637500,3798500,9061600,1300000,10197500,2615800,3302778,4666500,9834700,7303600,119805000,3707000,31018904,9057200,29444568,11191800,2585500,15238200
2019-04-23,93292000,2693600,5036400,41777500,92808000,41889700,3418400,9079200,31868000,2120900,9193100,3108400,19954800,8163700,24025500,346856000,10923400,8564200,6522900,10595100,9920600,4894500,5930500,3014000,8133500,1524600,12159300,2336800,4218030,5790500,25327800,8818000,100898000,4464100,26672102,15979800,41937700,10261400,2851300,15152400
2019-04-24,70162400,1867600,4050600,51784700,73516000,40078100,3384900,22115000,23396000,4606100,9245700,3255200,37289900,9042500,31257000,318204000,8769800,9553100,7376500,11684000,7056400,9855100,8694400,2043100,7624600,1156400,11449500,1942400,3869815,5676300,15997300,6187200,65419000,3517200,21196994,10094800,95658073,6104100,3570600,14093400
2019-04-25,74172800,1747200,6002300,57329700,121982000,43243800,5498400,10636400,31344000,2075300,9311800,3152400,54148800,5585900,38033900,499296000,8226100,10959400,8862500,11135000,10442900,6615000,5094700,1869000,7305000,1278200,16382500,2506600,3379260,5218100,11444400,5898400,62555000,4433700,18130065,6085300,58284201,5954500,10116600,11883300
